filename,main_speaker_tag,n_speakers_detected,note
sessid_01_P1_sid_09,1,2,ok
sessid_01_P2_sid_02,2,2,ok
sessid_02_P1_sid_09,2,2,failed?
sessid_02_P2_sid_17,1,2,ok
sessid_03_P1_sid_17,1,0,failed?
sessid_03_P2_sid_02,2,2,
sessid_04_P1_sid_12,1,2,ok
sessid_04_P2_sid_23,1,0,
sessid_05_P1_sid_12,2,1,
sessid_05_P2_sid_21,1,2,
sessid_06_P1_sid_23,2,2,?
sessid_06_P2_sid_21,2,2,
sessid_07_P1_sid_09,2,2,
sessid_07_P2_sid_01,1,2,
sessid_08_P1_sid_09,1,2,
sessid_08_P2_sid_04,2,0,
sessid_09_P1_sid_01,1,2,
sessid_09_P2_sid_04,2,2,
sessid_10_P1_sid_09,1,2,
sessid_10_P2_sid_34,2,2,
sessid_11_P1_sid_09,1,2,
sessid_11_P2_sid_15,1,2,
sessid_12_P1_sid_15,1,2,
sessid_12_P2_sid_11,2,2,
sessid_13_P1_sid_09,2,2,
sessid_13_P2_sid_19,2,2,
sessid_14_P1_sid_19,1,2,
sessid_14_P2_sid_06,1,0,
sessid_15_P1_sid_09,above values are not checked properly,2,
sessid_15_P2_sid_16,,2,
sessid_16_P1_sid_24,,0,
sessid_16_P2_sid_16,,2,
sessid_17_P1_sid_09,,2,
sessid_17_P2_sid_43,,0,
sessid_18_P1_sid_03,,2,
sessid_18_P2_sid_43,,2,
sessid_19_P1_sid_09,,2,
sessid_19_P2_sid_22,,2,
sessid_20_P1_sid_09,,0,
sessid_20_P2_sid_50,,2,
sessid_21_P1_sid_50,,2,
sessid_21_P2_sid_22,,1,
sessid_22_P1_sid_12,,2,
sessid_22_P2_sid_18,,2,
sessid_23_P1_sid_12,,0,
sessid_23_P2_sid_39,,2,
sessid_24_P1_sid_18,,0,
sessid_24_P2_sid_39,,2,
sessid_25_P1_sid_12,,2,
sessid_25_P2_sid_27,,2,
sessid_26_P1_sid_12,,1,
sessid_26_P2_sid_32,,0,
sessid_27_P1_sid_27,,2,
sessid_27_P2_sid_32,,2,
sessid_28_P1_sid_09,,2,
sessid_28_P2_sid_07,,2,
sessid_29_P1_sid_09,,2,
sessid_29_P2_sid_05,,2,
sessid_30_P1_sid_07,,2,
sessid_30_P2_sid_05,,2,
sessid_31_P1_sid_28,,2,
sessid_31_P2_sid_09,,2,
sessid_32_P1_sid_28,,2,
sessid_32_P2_sid_14,,2,
sessid_33_P1_sid_09,,2,
sessid_33_P2_sid_33,,0,
sessid_34_P1_sid_09,,2,
sessid_34_P2_sid_36,,0,
sessid_35_P1_sid_33,,2,
sessid_35_P2_sid_36,,2,
sessid_36_P1_sid_13,,2,
sessid_36_P2_sid_40,,2,
sessid_37_P1_sid_13,,1,
sessid_37_P2_sid_40,,0,
sessid_38_P1_sid_56,,2,
sessid_38_P2_sid_30,,2,
sessid_40_P1_sid_56,,2,
sessid_40_P2_sid_51,,2,
sessid_41_P1_sid_57,,2,
sessid_41_P2_sid_51,,2,
sessid_42_P1_sid_12,,2,
sessid_42_P2_sid_10,,2,
sessid_43_P1_sid_12,,2,
sessid_43_P2_sid_20,,2,
sessid_44_P1_sid_10,,2,
sessid_44_P2_sid_20,,2,
sessid_45_P1_sid_56,,2,
sessid_45_P2_sid_38,,2,
sessid_46_P1_sid_55,,2,
sessid_46_P2_sid_38,,2,
sessid_47_P1_sid_56,,2,
sessid_47_P2_sid_37,,0,
sessid_48_P1_sid_58,,2,
sessid_48_P2_sid_37,,2,
sessid_49_P1_sid_56,,2,
sessid_49_P2_sid_49,,2,
sessid_50_P1_sid_12,,2,
sessid_50_P2_sid_31,,2,
sessid_51_P1_sid_12,,2,
sessid_51_P2_sid_59,,2,
sessid_52_P1_sid_12,,2,
sessid_52_P2_sid_08,,2,
sessid_53_P1_sid_59,,0,
sessid_53_P2_sid_08,,0,
sessid_54_P1_sid_12,,0,
sessid_54_P2_sid_60,,0,
